timestamp,name,price,cbd_potency,tch_potency,strain,brand,effect,quantity
2023/01/14 21:47:19,Flower-Garlic Mints 3.5g,55,0.09,29,HYBRID,Mile 62,"CALM,HAPPY,RELAXED,ENERGETIC",10
2023/01/14 21:47:19,"Flower-8"" Bagel Buds 3.5g",35,None,16.6,INDICA,High Supply,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Ethos Chem OG Buds 3.5g,50,None,22.96,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:19,Flower-Monkey Mints Buds 3.5g,50,None,23.92,HYBRID,Nature's Heritage,"HAPPY,RELAXED,SLEEPY",25
2023/01/14 21:47:19,Live Flower-Crescendo 3.5g,50,None,17.53,NOT_APPLICABLE,Nature's Heritage,None,25
2023/01/14 21:47:19,Flower-Deep 6 #55 Buds 3.5g,40,0.06,20.9,HYBRID,Berkshire Roots,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Live Flower-Rainbow Chip 3.5g,55,None,20.2,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Flower-Guicy Banger Buds 3.5g,50,None,26.76,SATIVA,Nature's Heritage,"CREATIVE,ENERGETIC,FOCUSED,HAPPY,INSPIRED",25
2023/01/14 21:47:19,Flower-Banana Daddy R1 Buds 3.5g,50,None,18.5,HYBRID,The Heirloom Collective,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Mandarin Zkittlez F1 | Popcorn  Buds 7g,50,0.11,24.7,INDICA,Simply Herb,"RELAXED,SLEEPY,HAPPY",25
2023/01/14 21:47:19,Flower-Jigglers Popcorn 3.5g,50,0.07,23.2,HYBRID,Resinate,"CALM,HAPPY,RELAXED,ENERGETIC",7
2023/01/14 21:47:19,Live Flower-Local Skunk 3.5g,55,None,26.39,HYBRID,Nature's Heritage,"CALM,HAPPY,RELAXED,ENERGETIC",25
2023/01/14 21:47:19,Pie Til I Die | 3.5g,30,None,27.49,HYBRID,Simply Herb,"CALM,HAPPY,RELAXED,ENERGETIC",25
